Year,Max Temperature
1940,15.927
1941,15.948
1942,15.625
1943,15.622
1944,15.844
1945,15.949
1946,15.837
1947,15.91
1948,15.774
1949,15.852
1950,15.643
1951,15.843
1952,15.851
1953,15.97
1954,15.708
1955,15.64
1956,15.57
1957,15.773
1958,15.891
1959,15.897
1960,15.9
1961,15.928
1962,15.791
1963,16.104
1964,15.959
1965,15.803
1966,15.902
1967,15.814
1968,15.762
1969,15.917
1970,15.854
1971,15.619
1972,16.004
1973,15.9
1974,15.769
1975,15.747
1976,15.804
1977,16.003
1978,15.852
1979,16.063
1980,16.183
1981,16.218
1982,16.067
1983,16.144
1984,15.835
1985,15.998
1986,16.025
1987,16.291
1988,16.268
1989,16.122
1990,16.37
1991,16.355
1992,15.908
1993,16.087
1994,16.101
1995,16.314
1996,16.293
1997,16.257
1998,16.579
1999,16.195
2000,16.232
2001,16.451
2002,16.336
2003,16.417
2004,16.187
2005,16.474
2006,16.422
2007,16.453
2008,16.444
2009,16.52
2010,16.404
2011,16.534
2012,16.458
2013,16.399
2014,16.38
2015,16.607
2016,16.797
2017,16.737
2018,16.736
2019,16.76
2020,16.678
2021,16.66
2022,16.785
2023,17.074
2024,17.152
